hour,fuel_cost,carbon_cost,total_cost,demand,renew_share,competition,high_comp,price
0,264.5555130976055,40.213944206931316,304.76945730453684,0.51653203718797,0.3016480672195444,0.4520711435673071,0,208.86901398993757
1,264.3419416877173,39.79105445904436,304.1329961467616,0.5687183539134587,0.18265131461224632,0.7099163013702396,1,332.679293507134
2,266.4969888705263,39.4771648927463,305.9741537632726,0.613913161910668,0.19292374611609212,0.8159859545898872,1,260.3326126942617
3,267.5630681928267,39.21123601345501,306.77430420628167,0.6181127896496713,0.1197739958481669,0.11644180799611203,0,167.60395729136587
4,264.7818970865516,39.2810769886169,304.06297407516854,0.6633743877688372,0.14109757988399058,0.5829253910671177,1,499.73727969206044
5,266.80768408694735,38.78171198218477,305.58939606913214,0.7761944120032159,0.05,0.7582950749125807,1,200.5604691304531
6,268.8061857657328,38.60298315729422,307.409168923027,0.7899601681170096,0.05,0.7894788325489661,1,112.12102615320896
7,269.01987624638645,39.668267449345684,308.68814369573215,0.8086401501952711,0.1306009457604667,0.20932971877513867,0,280.1611696163292
8,270.3704590360856,39.99961279224826,310.37007182833383,0.9773900030582736,0.05,0.41426239077037774,0,424.531570107259
9,271.9191939331997,40.43102033948025,312.35021427268,1.152137973744172,0.08117081068551146,0.9161496833065524,1,353.5277787492593
10,272.63717339437756,39.8061009280671,312.44327432244467,1.1130058982216435,0.1677232829497018,0.17140146525303956,0,113.13611624291988
11,270.30775160440106,40.3934308387927,310.7011824431938,0.9388715605073137,0.18542919810895872,0.6477802248859869,1,342.3531808566519
12,272.6195798950453,40.23505874024547,312.85463863529077,1.0482988443194503,0.2849814736054653,0.6106127412807232,1,305.7258409344917
13,272.44905632126324,40.35494406651047,312.8040003877737,0.9446794637199825,0.2527075009556764,0.07094707371114094,0,266.5402440940155
14,273.97896560119216,39.9767579151096,313.95572351630176,0.9894335886735641,0.3284471244940586,0.7346387700889555,1,339.7899587126093
15,272.2005246772715,39.812025755655434,312.01255043292696,0.9025731054160806,0.18387523381911297,0.613450323702264,1,294.7251944197149
16,272.41791896937093,40.61868458877988,313.03660355815083,0.9561347114512855,0.376097971401344,0.8527481344004101,1,311.21459656393813
17,272.6678274919893,40.35351727449113,313.02134476648047,0.8010575914936136,0.332524138222024,0.8474713821920804,1,407.51626222271125
18,273.02286636462435,40.550068296968966,313.5729346615933,0.843219066436947,0.32653337864315657,0.4643988706877776,0,299.8198232708324
19,270.4015852432525,40.25709376959268,310.6586790128452,0.7876777206652436,0.3337336329843141,0.9430751207257108,1,196.6414637295522
20,269.4204853398693,40.10278688232424,309.52327222219355,0.6994398590577098,0.36459951441459715,0.3096321136130462,0,162.1427659323076
21,270.189120931797,39.59569770711457,309.7848186389116,0.6364647082978149,0.3358064421668109,0.7027594764292597,1,264.5034719477473
22,268.0518914791443,40.870369771714344,308.92226125085864,0.5888021658167848,0.27106036825128904,0.7733712015979429,1,285.89108487611605
23,270.1638863297922,41.07478482658452,311.2386711563767,0.4830725401731949,0.3452468255917854,0.6804419617500306,1,208.53538668044672
0,270.62672407889755,40.40847363705309,311.03519771595063,0.7198353906280179,0.22434800455708023,0.25947356564753954,0,330.3977076664532
1,270.39030537987765,40.43654863192889,310.8268540118065,0.4500859213087821,0.10378071597183314,0.22408589845593063,0,283.3133089198225
2,271.27749095700676,40.27144107576249,311.54893203276924,0.4132555074467409,0.13958474451731656,0.6554311556459022,1,392.07100893936035
3,270.23092286875954,40.67369222098539,310.90461508974494,0.4562635357540332,0.12066201805881055,0.44810646898726547,0,251.1247566447854
4,273.4609506743237,41.25583572120477,314.7167863955285,0.7052015051834775,0.13323520769616645,0.838737022459391,1,359.2555101990364
5,268.6867204200444,41.079842228375696,309.7665626484201,0.8383988107482583,0.1676233874837704,0.5348313544305584,1,232.10529936471033
6,266.80041615768874,40.39427654313808,307.1946927008268,0.6728449337773843,0.11245523280724315,0.7122185659698945,1,84.9359458075186
7,266.37937239487206,40.64926008864583,307.02863248351787,0.7508537688328417,0.09773617447623222,0.6750153484362672,1,127.10855436428545
8,265.6520662571171,39.36682348405431,305.0188897411714,1.1445025289581388,0.08719121370612243,0.4372498198843463,0,214.6778506481072
9,266.6106002341374,40.33520454109572,306.9458047752331,1.0091846420809054,0.05,0.9155113448835599,1,399.8568357635464
10,265.97412347087635,40.19158107001026,306.1657045408866,1.0960974982947227,0.2249413052680697,0.8025957260523755,1,221.35884906090732
11,266.8987562991323,40.102167520904295,307.0009238200366,1.0046048205130027,0.28786031859897865,0.8066562494819312,1,370.6087054999899
12,263.30449769336167,40.70202148349063,304.0065191768523,1.0746809317495314,0.23121937053133004,0.9003963506165555,1,387.7539520568098
13,266.0404784397212,42.52045171753076,308.56093015725196,1.1099088060333822,0.1825669605594266,0.05348599223782466,0,475.45319890806473
14,267.0807187949646,42.3962388463105,309.4769576412751,0.9542786609443552,0.2560486785363372,0.5628055859570799,1,308.3812183554047
15,266.94690095710706,41.369867158267056,308.3167681153741,0.9246977235358189,0.31237931713637873,0.7999829361644115,1,269.96736935013587
16,267.3102119238596,41.57055111424534,308.88076303810493,0.9142509066462103,0.3957153785869346,0.8084786909535006,1,312.92029155334995
17,270.0864125231281,41.152366265016546,311.23877878814466,0.7438846864265604,0.3028260971993924,0.32317283607912456,0,315.4585306556946
18,270.5355121918776,41.53901575390202,312.07452794577966,0.754920124703693,0.3479388247221071,0.2969098724620465,0,200.73850703919032
19,273.17509111246954,42.242628165652484,315.41771927812204,0.68668325012839,0.4194228924940072,0.5391877427509584,1,248.61653265198234
20,272.7756977859105,42.90139930109381,315.6770970870043,0.6362837284115535,0.276829852934579,0.18654395485900682,0,102.57781599859399
21,271.6739341091528,41.74286132991029,313.4167954390631,0.5626817698991098,0.2776251193275344,0.4891894044568731,0,206.99617956415494
22,273.08990226030755,41.28954843188835,314.3794506921959,0.595101856039727,0.2812202684215687,0.42609060258734566,0,311.2065303976177
23,275.7012487672987,41.196802436404525,316.89805120370323,0.662513358638728,0.2708592038369586,0.36446500601924076,0,345.23867124947924
0,273.4449627079125,40.882779183502116,314.32774189141463,0.5508389488557618,0.18079245046829398,0.34946044040349067,0,398.5864488115727
1,274.9285247946887,40.41982352812663,315.34834832281535,0.6042382770599259,0.21319233645703695,0.7759337065135395,1,211.7028532394521
2,270.1750782182621,41.45031945189713,311.62539767015926,0.6476738153259615,0.1746958099778373,0.1646505705458035,0,235.12057796224732
3,270.5950492345789,42.20918068916474,312.8042299237436,0.6091876290997019,0.10823676999242997,0.42567503840376375,0,164.36529599123094
4,268.3794107026232,41.9730732487093,310.3524839513325,0.6963621532191904,0.14792199531864222,0.5601059185041312,1,184.19714384243144
5,268.08901963933835,41.271390021785066,309.3604096611234,0.781165569519115,0.05,0.1790930232515427,0,249.27059399845237
6,266.70670975065156,41.57421869937012,308.2809284500217,0.760169988594091,0.11815859133032514,0.6931936216052834,1,253.63311775853785
7,268.6325424111577,41.51098994648989,310.1435323576476,0.7891668368580128,0.13036304327444645,0.11821033946160614,0,409.11121503536515
8,269.7360616944412,41.44177699769908,311.1778386921403,0.8194979895172293,0.08016980762905673,0.4643238669393462,0,337.19548905347926
9,269.10216911844896,41.75553361844287,310.85770273689184,0.9987997663930384,0.17305665559290925,0.23362432947168965,0,116.01245468630202
10,265.88250330266624,42.02253315631496,307.9050364589812,0.9751231422109516,0.11468865549175908,0.12205805431363315,0,381.8345876468002
11,262.80264991433876,41.47092751845389,304.27357743279265,1.084019746314173,0.1978161415691417,0.8662332340568609,1,332.3355298389835
